1109,21924,2048
921,15668,1024
975,16440,1024
535,15556,1024
1753,34596,2048
1701,32680,2048
616,10480,1024
201,2416,256
1174,23188,2048
996,16752,1024
443,6512,512
653,11332,1024
627,10648,1024
1319,25784,2048
1330,25764,2048
504,7448,512
51,260,32
103,860,64
59,324,32
99,788,64
171,1632,128
271,3244,256
340,4092,256
1315,25784,2048
123,1028,64
380,5036,256
261,3168,256
342,4308,256
414,6268,512
153,1456,128
112,868,64
170,1716,128
483,1060,128
225,2680,256
505,3412,256
1646,14672,1024
1503,22628,2048
2443,14564,1024
176,1748,128
4129,17288,1024
1566,6712,512
588,2040,128
2082,15988,1024
1615,3124,256
360,3408,128
691,7056,512
434,3476,256
8220,33992,2048
870,11160,512
2148,21132,2048
2522,37328,2048
1822,28036,2048
1394,15508,1024
1974,32364,2048
3424,6268,512
14023,14644,1024
2853,32792,2048
688,12016,1024
1,3544,256
1409,27136,2048
1756,34436,2048
1861,35628,2048
1013,16856,1024
278,3328,256
713,12076,1024
817,14128,1024
978,16480,1024
684,7292,512
1450,29472,2048
968,16352,1024
518,7344,512
1651,32220,2048
1680,32584,2048
397,5656,512
952,16228,1024
955,16260,1024
656,10856,1024
350,4628,256
382,4944,256
1055,21272,2048
1696,33052,2048
1688,32680,2048
1458,27708,2048
1476,28180,2048
1850,35960,2048
945,16064,1024
1840,35876,2048
1430,27256,2048
924,15828,1024
1062,21412,2048
1203,23512,2048
974,16448,1024
677,8984,512
231,2452,128
1266,24872,2048
992,16776,1024
650,10804,1024
349,5120,512
977,16428,1024
685,11700,1024
642,10732,1024
1025,16968,1024
1288,25440,2048
10,6324,512
448,6324,512
289,1724,128
110,1724,128
264,1724,128
844,14524,1024
999,16628,1024
987,16640,1024
505,7228,512
276,476,64
1176,23156,2048
479,7072,512
846,14600,1024
1835,35600,2048
1413,27172,2048
721,12100,1024
2416,14308,1024
1373,26340,2048
1018,17016,1024
515,7328,512
475,6828,512
1505,30156,2048
930,16004,1024
2006,14580,1024
410,5704,512
444,6668,512
1327,25876,2048
995,16568,1024
844,14548,1024
1900,36488,2048
932,15952,1024
952,16112,1024
414,6288,512
812,14096,1024
575,8924,512
597,8788,512
1864,36232,2048
1718,30536,2048
438,6436,512
846,14472,1024
103,848,64
42,31420,2048
865,57524,4096
898,12380,1024
2770,50056,2048
1096,36684,2048
769,27400,2048
1568,30944,2048
959,16224,1024
2385,1496,128
287,3468,256
128,1272,128
1752,34316,2048
417,7240,512
505,7200,512
127,2740,256
783,12940,1024
438,7696,512
548,7864,512
965,16308,1024
830,14324,1024
684,15156,1024
197,2332,256
701,12008,1024
1615,31932,2048
250,3052,256
1904,36624,2048
1247,11756,1024
549,7896,512
994,16776,1024
726,12196,1024
981,16572,1024
1900,36740,2048
1807,35452,2048
763,12620,1024
443,6572,512
781,12936,1024
728,12336,1024
467,6976,512
54,292,32
528,7344,512
591,6952,512
73,440,32
139,1740,128
340,4164,256
1810,34896,2048
585,8768,512
842,14404,1024
1430,27376,2048
493,7156,512
519,7412,512
656,11344,1024
1702,33708,2048
72,1288,128
63,384,32
1017,17020,1024
1411,27216,2048
695,11816,1024
1656,32260,2048
54,288,32
785,12952,1024
442,6520,512
912,15256,1024
1294,25560,2048
799,13996,1024
801,14036,1024
978,16460,1024
1581,31376,2048
987,16636,1024
